,HPQ
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.3027522935779817
Growth 1yr High Est,0.10666666666666669
Growth 1yr Consensus Est,-0.09804281345565752
Growth 2yr Low Est,-0.0724287783679382
Growth 2yr High Est,0.14369477911646578
Growth 2yr Consensus Est,0.035633000374263785
Growth 5yr Low Est,0.04133232844738635
Growth 5yr High Est,0.15283320118620847
Growth 5yr Consensus Est,0.09708276481679741
Growth 5yr Actual/Est,0.11768836221072038
Growth 3yr Historic,0.08328832883288334
