,J
% Above Low,0.34880000000000005
% Held by Institutions,0.883
52-Wk Range,['59.29 - 104.00']
Annual Dividend $,0.76
Annual Dividend %,0.0097
Ask,107.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,70.0
Bid Size,100.0
Closing Price,79.97
Day Change $,1.42
Day Change %,0.0181
Day High,80.59
Day Low,79.01
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",1.5
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.385
Last (size),166.0
Last (time),6:30p ET 05/08/20
Market Cap,10.4B
"P/E Ratio (TTM, GAAP)",52.26
Prev Close,78.55
Shares Outstanding,130.1M
Short Interest,0.0191
Today's Open,79.14
Volume,752511.0
Volume 10-day Avg,913836.0
Volume Past Day,(Below Average)
