,J
Price/Earnings (TTM),52.26388
Price/Sales (TTM),0.76553
Price/Book (MRQ),1.8358
Price/Cash Flow (TTM),25.08416
5yr Low,34.76
5yr High,104.0
5yr Avg Return,0.13549999999999998
EPS Growth 5yr,-0.0106812
Revenue Growth 5yr,0.000672
Dividend Growth 5yr,
Short Int Current Month,2527150.0
Short Int Prev Month,2657993.0
Short Int Pct of Float,0.0191275
Days to Cover,2.60439
Float,128.685
Shares Outstanding,130.1027
Institutions Holding Shares,753.0
% Held by Institutions,0.8830100000000001
FCF Growth 5yr,-0.43607403528977906
