,IPGP
Price/Earnings (TTM),49.06229
Price/Sales (TTM),6.25872
Price/Book (MRQ),3.32492
Price/Cash Flow (TTM),30.09802
5yr Low,70.21
5yr High,264.11
5yr Avg Return,0.1827
EPS Growth 5yr,-0.0247516
Revenue Growth 5yr,0.1129567
Dividend Growth 5yr,
Short Int Current Month,2190425.0
Short Int Prev Month,2390290.0
Short Int Pct of Float,0.062220199999999996
Days to Cover,6.03662
Float,35.10092
Shares Outstanding,53.02757
Institutions Holding Shares,617.0
% Held by Institutions,0.676739
FCF Growth 5yr,0.03874992740110907
