,IPGP
% Below High,0.0867
% Held by Institutions,0.6767
52-Wk Range,['98.04 - 166.49']
Annual Dividend $,
Annual Dividend %,
Ask,161.66
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.7
Bid,152.06
Bid Size,300.0
Closing Price,152.06
Day Change $,4.67
Day Change %,0.0317
Day High,153.22
Day Low,149.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.0
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),6.0
Last (time),4:15p ET 05/08/20
Market Cap,8.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.06
Prev Close,147.39
Shares Outstanding,53.0M
Short Interest,0.0622
Today's Open,149.85
Volume,613622.0
Volume 10-day Avg,547974.0
Volume Past Day,(Above Average)
