,IPGP
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6274509803921569
Growth 1yr High Est,-0.145413870246085
Growth 1yr Consensus Est,-0.3864324253191209
Growth 2yr Low Est,0.2981166150670793
Growth 2yr High Est,0.24142919053140777
Growth 2yr Consensus Est,0.26977290279924354
Growth 5yr Low Est,0.0481415465299887
Growth 5yr High Est,0.029249541502263027
Growth 5yr Consensus Est,0.03869554401612588
Growth 5yr Actual/Est,-0.0478447688404573
Growth 3yr Historic,-0.10460760599341531
