,BBY
Price/Earnings (TTM),13.2044
Price/Sales (TTM),0.44994
Price/Book (MRQ),5.62163
Price/Cash Flow (TTM),8.34451
5yr Low,25.31
5yr High,91.99
5yr Avg Return,0.20035
EPS Growth 5yr,0.1028082
Revenue Growth 5yr,0.015846199999999998
Dividend Growth 5yr,0.2274034
Short Int Current Month,7153841.0
Short Int Prev Month,4706431.0
Short Int Pct of Float,0.0324503
Days to Cover,2.68635
Float,219.2801
Shares Outstanding,257.5034
Institutions Holding Shares,941.0
% Held by Institutions,0.799812
FCF Growth 5yr,0.45597191735477605
