,BBY
% Below High,0.1452
% Held by Institutions,0.7998000000000001
52-Wk Range,['48.11 - 91.99']
Annual Dividend $,2.2
Annual Dividend %,0.028900000000000002
Ask,78.79
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.5
Bid,78.64
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,78.63
Day Change $,2.38
Day Change %,0.031200000000000002
Day High,78.87
Day Low,76.73
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",5.77
Ex-dividend,2020-03-18 00:00:00
Ex-dividend Date,03/18/20
Historical Volatility,0.509
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,78.63
Market Cap,20.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.2
Prev Close,76.25
Shares Outstanding,257.5M
Short Interest,0.0325
Today's Open,76.75
Volume,1440014.0
Volume 10-day Avg,2354816.0
Volume Past Day,(Light)
