,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,1.4,,,1.39,,1.4,,1.395,1.4,,
Year ending 12/2018,Neutral,1.87,,0.33571428571428585,1.81,0.3021582733812951,1.85,0.3214285714285716,1.83,1.87,0.33571428571428585,0.31179342240493335
Year ending 12/2019,Neutral,2.2,,0.17647058823529416,2.17,0.19889502762430933,2.19,0.18378378378378368,2.1799999999999997,2.2,0.17647058823529416,0.1913394057040465
Year ending 12/2020,Neutral,,2.46,0.0,2.41,0.11059907834101401,2.5,0.14155251141552516,2.46,2.46,0.11818181818181817,0.1260757948782696
Year ending 12/2021,Neutral,,2.69,0.0,2.61,0.08298755186721984,2.79,0.1160000000000001,2.69,2.69,0.0934959349593496,0.09949377593360997
