,DUK
% Above Low,0.31629999999999997
% Held by Institutions,0.6267
52-Wk Range,['62.13 - 103.79']
Annual Dividend $,3.78
Annual Dividend %,0.0471
Ask,82.0
Ask Size,800.0
B/A Ratio,0.375
B/A Size,300x800
Beta,0.4
Bid,80.77
Bid Size,300.0
Closing Price,81.78
Day Change $,1.47
Day Change %,0.0183
Day High,82.07
Day Low,80.5
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.1
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.38200000000000006
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,60.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",15.76
Prev Close,80.31
Shares Outstanding,734.0M
Short Interest,0.0526
Today's Open,81.49
Volume,2875207.0
Volume 10-day Avg,3148294.0
Volume Past Day,(Average)
