,DUK
Price/Earnings (TTM),15.75994
Price/Sales (TTM),2.35057
Price/Book (MRQ),1.31224
Price/Cash Flow (TTM),6.76573
5yr Low,62.13
5yr High,103.79
5yr Avg Return,0.013950000000000002
EPS Growth 5yr,0.0730353
Revenue Growth 5yr,0.0218586
Dividend Growth 5yr,0.0352095
Short Int Current Month,38585418.0
Short Int Prev Month,36085006.0
Short Int Pct of Float,0.0526184
Days to Cover,9.75885
Float,733.2855
Shares Outstanding,734.0286
Institutions Holding Shares,1836.0
% Held by Institutions,0.6267320000000001
FCF Growth 5yr,0.1675900986636957
