,WYNN
% Above Low,1.4258000000000002
% Held by Institutions,0.7702
52-Wk Range,['35.84 - 153.41']
Annual Dividend $,
Annual Dividend %,
Ask,87.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.5
Bid,86.55
Bid Size,300.0
Closing Price,86.94
Day Change $,7.34
Day Change %,0.0922
Day High,87.4
Day Low,81.49
Dividend Pay Date,03/06/20
"EPS (TTM, GAAP)",-3.6
Ex-dividend Date,02/25/20
Historical Volatility,0.751
Last (size),300.0
Last (time),4:00p ET 05/08/20
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,79.6
Shares Outstanding,107.9M
Short Interest,0.10210000000000001
Today's Open,81.91
Volume,6408179.0
Volume 10-day Avg,5910808.0
Volume Past Day,(Average)
