,LMT
% Below High,0.1449
% Held by Institutions,0.7636
52-Wk Range,['266.11 - 442.53']
Annual Dividend $,9.6
Annual Dividend %,0.0255
Ask,380.9
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.0
Bid,378.4
Bid Size,400.0
Closing Price,378.4
Day Change $,1.86
Day Change %,0.0049
Day High,381.13
Day Low,376.25
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",22.03
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.37700000000000006
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,106.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.09
Prev Close,376.54
Shares Outstanding,280.4M
Short Interest,0.0096
Today's Open,378.03
Volume,1130673.0
Volume 10-day Avg,1235184.0
Volume Past Day,(Average)
