,LMT
Price/Earnings (TTM),17.09136
Price/Sales (TTM),1.72747
Price/Book (MRQ),30.64281
Price/Cash Flow (TTM),14.16243
5yr Low,181.91
5yr High,442.53
5yr Avg Return,0.14558333333333331
EPS Growth 5yr,0.1682004
Revenue Growth 5yr,0.0840842
Dividend Growth 5yr,0.1039109
Short Int Current Month,2714407.0
Short Int Prev Month,2777519.0
Short Int Pct of Float,0.009636200000000001
Days to Cover,1.62665
Float,278.809
Shares Outstanding,280.4353
Institutions Holding Shares,2098.0
% Held by Institutions,0.7635599999999999
FCF Growth 5yr,0.3518900704328776
