,KSU
% Below High,0.235
% Held by Institutions,0.9311
52-Wk Range,['92.86 - 178.59']
Annual Dividend $,1.6
Annual Dividend %,0.012199999999999999
Ask,168.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,110.0
Bid Size,100.0
Closing Price,136.63
Day Change $,5.3
Day Change %,0.0404
Day High,136.98
Day Low,133.64
Dividend Pay Date,2020-04-08 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.47100000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.02
Prev Close,131.33
Shares Outstanding,95.0M
Short Interest,0.0347
Today's Open,133.64
Volume,1045223.0
Volume 10-day Avg,1480916.0
Volume Past Day,(Light)
