,GL
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.002958579881656931
Growth 1yr High Est,0.03823529411764692
Growth 1yr Consensus Est,0.020596936999651927
Growth 2yr Low Est,0.028027962507200077
Growth 2yr High Est,0.04815447425429087
Growth 2yr Consensus Est,0.03809121838074547
Growth 5yr Low Est,0.10957322095504773
Growth 5yr High Est,0.12014657100135734
Growth 5yr Consensus Est,0.11485989597820254
Growth 5yr Actual/Est,0.11397870267940996
Growth 3yr Historic,0.09323153933109052
