,GLW
Price/Earnings (TTM),60.82866
Price/Sales (TTM),1.43854
Price/Book (MRQ),1.60649
Price/Cash Flow (TTM),8.7689
5yr Low,15.42
5yr High,36.56
5yr Avg Return,0.03098333333333333
EPS Growth 5yr,-0.09222770000000001
Revenue Growth 5yr,0.034364599999999995
Dividend Growth 5yr,0.1486984
Short Int Current Month,22269013.0
Short Int Prev Month,22288906.0
Short Int Pct of Float,0.0290226
Days to Cover,3.64231
Float,758.4739
Shares Outstanding,760.948
Institutions Holding Shares,1203.0
% Held by Institutions,0.735517
FCF Growth 5yr,0.030093259590168155
