,GLW
% Above Low,0.2397
% Held by Institutions,0.7354999999999999
52-Wk Range,['17.44 - 34.26']
Annual Dividend $,0.88
Annual Dividend %,0.042
Ask,21.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,21.53
Bid Size,100.0
Closing Price,21.62
Day Change $,0.67
Day Change %,0.032
Day High,21.73
Day Low,21.28
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",0.34
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.484
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",60.83
Prev Close,20.95
Shares Outstanding,760.9M
Short Interest,0.028999999999999998
Today's Open,21.35
Volume,2672013.0
Volume 10-day Avg,5286193.0
Volume Past Day,(Light)
