,HAL
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-1.4188034188034189
Growth 1yr High Est,-0.8174603174603174
Growth 1yr Consensus Est,-1.1181318681318682
Growth 2yr Low Est,-0.11756497470783189
Growth 2yr High Est,-0.36525189786059353
Growth 2yr Consensus Est,-0.2414084362842127
Growth 5yr Low Est,-0.198595229040194
Growth 5yr High Est,-0.35343034325458006
Growth 5yr Consensus Est,-0.27601278614738706
Growth 5yr Actual/Est,0.5363731247738596
Growth 3yr Historic,0.05250215703192407
