,HAL
Price/Earnings (TTM),
Price/Sales (TTM),0.40453
Price/Book (MRQ),1.28093
Price/Cash Flow (TTM),
5yr Low,4.25
5yr High,58.78
5yr Avg Return,-0.14831666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0737661
Dividend Growth 5yr,0.0270661
Short Int Current Month,45502406.0
Short Int Prev Month,35302958.0
Short Int Pct of Float,0.052304500000000004
Days to Cover,1.27616
Float,874.1162
Shares Outstanding,877.2776
Institutions Holding Shares,1000.0
% Held by Institutions,0.8121160000000001
FCF Growth 5yr,-1.211983701950309
