,HAL
% Above Low,1.5175999999999998
% Held by Institutions,0.8120999999999999
52-Wk Range,['4.25 - 27.16']
Annual Dividend $,0.72
Annual Dividend %,0.0719
Ask,10.66
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,2.5
Bid,10.5
Bid Size,200.0
Closing Price,10.7
Day Change $,0.69
Day Change %,0.0689
Day High,10.71
Day Low,10.09
Dividend Pay Date,2020-03-25 00:00:00
"EPS (TTM, GAAP)",-2.62
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.873
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.01
Shares Outstanding,877.3M
Short Interest,0.052300000000000006
Today's Open,10.28
Volume,21303492.0
Volume 10-day Avg,30057734.0
Volume Past Day,(Light)
