,FE
% Above Low,0.2688
% Held by Institutions,0.84
52-Wk Range,['32.00 - 52.52']
Annual Dividend $,1.56
Annual Dividend %,0.0388
Ask,41.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,40.32
Bid Size,100.0
Closing Price,40.6
Day Change $,0.39
Day Change %,0.0097
Day High,40.91
Day Low,40.13
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",1.07
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.409
Last (size),42.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.75
Prev Close,40.21
Shares Outstanding,541.8M
Short Interest,0.0105
Today's Open,40.74
Volume,2609694.0
Volume 10-day Avg,3620990.0
Volume Past Day,(Light)
