,FE
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.02127659574468077
Growth 1yr High Est,-0.011718750000000111
Growth 1yr Consensus Est,0.00477892287234033
Growth 2yr Low Est,0.041888297872340385
Growth 2yr High Est,0.021808609189723327
Growth 2yr Consensus Est,0.031848453531031856
Growth 5yr Low Est,-0.006639936379662453
Growth 5yr High Est,-0.0357812572180887
Growth 5yr Consensus Est,-0.021210596798875575
Growth 5yr Actual/Est,-0.03572192024520385
Growth 3yr Historic,-0.04005319884798708
