,FE
Price/Earnings (TTM),37.7502
Price/Sales (TTM),2.0057
Price/Book (MRQ),3.19694
Price/Cash Flow (TTM),11.98895
5yr Low,27.93
5yr High,52.52
5yr Avg Return,0.03935
EPS Growth 5yr,0.26832049999999996
Revenue Growth 5yr,-0.0601621
Dividend Growth 5yr,0.0108721
Short Int Current Month,5644340.0
Short Int Prev Month,6051377.0
Short Int Pct of Float,0.010451299999999998
Days to Cover,1.32768
Float,540.3694
Shares Outstanding,541.7537
Institutions Holding Shares,888.0
% Held by Institutions,0.839966
FCF Growth 5yr,-0.30664347767121714
