,FOX
% Above Low,0.34500000000000003
% Held by Institutions,
52-Wk Range,['19.13 - 38.84']
Annual Dividend $,0.46
Annual Dividend %,0.0184
Ask,25.91
Ask Size,1100.0
B/A Ratio,0.9090909090909091
B/A Size,1000x1100
Beta,
Bid,24.45
Bid Size,1000.0
Closing Price,25.73
Day Change $,0.72
Day Change %,0.0288
Day High,25.95
Day Low,25.32
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.41700000000000004
Last (size),2.0
Last (time),4:00p ET 05/08/20
Market Cap,15.6B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,25.01
Shares Outstanding,606.8M
Short Interest,
Today's Open,25.62
Volume,949514.0
Volume 10-day Avg,1346844.0
Volume Past Day,(Light)
