,MPC
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-2.101871101871102
Growth 1yr High Est,-0.7165354330708662
Growth 1yr Consensus Est,-1.409203267470984
Growth 2yr Low Est,-1.5179166830110227
Growth 2yr High Est,0.6111767279090112
Growth 2yr Consensus Est,-0.4533699775510057
Growth 5yr Low Est,-0.6821920371576853
Growth 5yr High Est,0.4585071456803939
Growth 5yr Consensus Est,-0.11184244573864568
Growth 5yr Actual/Est,-0.8492779752568937
Growth 3yr Historic,0.09574160756303224
