,CF
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.634020618556701
Growth 1yr High Est,-0.004237288135593098
Growth 1yr Consensus Est,-0.31912895334614705
Growth 2yr Low Est,-0.21137650646144912
Growth 2yr High Est,0.12766858997475666
Growth 2yr Consensus Est,-0.04185395824334623
Growth 5yr Low Est,-0.21137650646144912
Growth 5yr High Est,0.12766858997475666
Growth 5yr Consensus Est,-0.04185395824334623
Growth 5yr Actual/Est,-1.3010633326792982
Growth 3yr Historic,-1.274274193548387
