,CF
Price/Earnings (TTM),12.91278
Price/Sales (TTM),1.29122
Price/Book (MRQ),2.15835
Price/Cash Flow (TTM),3.88132
5yr Low,19.73
5yr High,70.32
5yr Avg Return,-0.08261666666666667
EPS Growth 5yr,-0.16314299999999998
Revenue Growth 5yr,-0.0065449
Dividend Growth 5yr,0.0371373
Short Int Current Month,5472102.0
Short Int Prev Month,5398545.0
Short Int Pct of Float,0.025737700000000002
Days to Cover,1.59335
Float,212.7993
Shares Outstanding,213.797
Institutions Holding Shares,722.0
% Held by Institutions,0.943514
FCF Growth 5yr,-0.30217780986672643
