,CF
% Above Low,0.47140000000000004
% Held by Institutions,0.9434999999999999
52-Wk Range,['19.73 - 55.15']
Annual Dividend $,1.2
Annual Dividend %,0.0436
Ask,29.2
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.1
Bid,28.75
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.03
Day Change $,1.49
Day Change %,0.0541
Day High,29.2
Day Low,28.06
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.52
Last (size),3800.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,27.54
Shares Outstanding,213.8M
Short Interest,0.025699999999999997
Today's Open,28.1
Volume,1875204.0
Volume 10-day Avg,2486436.0
Volume Past Day,(Light)
