,ZION
Price/Earnings (TTM),9.74131
Price/Sales (TTM),1.79332
Price/Book (MRQ),0.72886
Price/Cash Flow (TTM),6.52052
5yr Low,19.65
5yr High,59.19
5yr Avg Return,0.06646666666666666
EPS Growth 5yr,0.19923069999999998
Revenue Growth 5yr,0.0768345
Dividend Growth 5yr,0.5157166
Short Int Current Month,14278437.0
Short Int Prev Month,14138665.0
Short Int Pct of Float,0.0886632
Days to Cover,4.42378
Float,161.3638
Shares Outstanding,163.862
Institutions Holding Shares,651.0
% Held by Institutions,1.006067
FCF Growth 5yr,0.22676838844671615
