,ZION
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-1.3152709359605912
Growth 1yr High Est,-0.17620137299771166
Growth 1yr Consensus Est,-0.7457361544791514
Growth 2yr Low Est,-1.5951354679802956
Growth 2yr High Est,0.06467709127892196
Growth 2yr Consensus Est,-0.7652291883506868
Growth 5yr Low Est,-0.6761706751666184
Growth 5yr High Est,0.1525763759937343
Growth 5yr Consensus Est,-0.26179714958644207
Growth 5yr Actual/Est,0.1226086145580012
Growth 3yr Historic,0.11154531742767038
