,FAST
% Below High,0.006500000000000001
% Held by Institutions,0.8287
52-Wk Range,['26.72 - 39.31']
Annual Dividend $,1.0
Annual Dividend %,0.0262
Ask,39.5
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,37.9
Bid Size,300.0
Closing Price,39.05
Day Change $,0.87
Day Change %,0.022799999999999997
Day High,39.11
Day Low,38.43
Dividend Pay Date,2020-05-26 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2020-04-27 00:00:00
Ex-dividend Date,04/27/20
Historical Volatility,0.41700000000000004
Last (size),30.0
Last (time),4:15p ET 05/08/20
Market Cap,22.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.37
Prev Close,38.18
Shares Outstanding,572.8M
Short Interest,0.0453
Today's Open,38.43
Volume,3231128.0
Volume 10-day Avg,4083036.0
Volume Past Day,(Light)
