,FAST
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.17518248175182494
Growth 1yr High Est,-0.0071428571428571175
Growth 1yr Consensus Est,-0.09116266944734103
Growth 2yr Low Est,-0.025644338221045115
Growth 2yr High Est,0.061176772867420404
Growth 2yr Consensus Est,0.017766217323187644
Growth 5yr Low Est,-0.04254973321308664
Growth 5yr High Est,0.0024074478754131656
Growth 5yr Consensus Est,-0.020071142668836736
Growth 5yr Actual/Est,0.11252738628640974
Growth 3yr Historic,0.10450461195928756
