,TIF
Price/Earnings (TTM),28.92492
Price/Sales (TTM),3.52588
Price/Book (MRQ),4.68912
Price/Cash Flow (TTM),19.47907
5yr Low,56.99
5yr High,141.64
5yr Avg Return,0.10711666666666667
EPS Growth 5yr,0.0361074
Revenue Growth 5yr,0.008061500000000001
Dividend Growth 5yr,0.0912261
Short Int Current Month,11663298.0
Short Int Prev Month,12851594.0
Short Int Pct of Float,0.097195
Days to Cover,4.48162
Float,120.1855
Shares Outstanding,121.3351
Institutions Holding Shares,831.0
% Held by Institutions,0.9232630000000001
FCF Growth 5yr,0.012978987042354284
