,TIF
% Below High,0.0436
% Held by Institutions,0.9233
52-Wk Range,['78.60 - 134.42']
Annual Dividend $,2.32
Annual Dividend %,0.0181
Ask,142.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,110.61
Bid Size,100.0
Closing Price,128.56
Day Change $,0.39
Day Change %,0.003
Day High,128.82
Day Low,128.17
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.405
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,15.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",28.92
Prev Close,128.17
Shares Outstanding,121.3M
Short Interest,0.09720000000000001
Today's Open,128.38
Volume,1806372.0
Volume 10-day Avg,1661881.0
Volume Past Day,(Average)
