,EMR
% Above Low,0.48610000000000003
% Held by Institutions,0.7147
52-Wk Range,['37.75 - 78.38']
Annual Dividend $,2.0
Annual Dividend %,0.0362
Ask,59.37
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.5
Bid,55.85
Bid Size,100.0
Closing Price,56.1
Day Change $,0.84
Day Change %,0.0152
Day High,56.45
Day Low,55.7
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.501
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,33.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.73
Prev Close,55.26
Shares Outstanding,597.5M
Short Interest,0.0165
Today's Open,56.34
Volume,2938160.0
Volume 10-day Avg,3669379.0
Volume Past Day,(Below Average)
