,ALK
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-2.6719745222929934
Growth 1yr High Est,-0.4339035769828926
Growth 1yr Consensus Est,-1.552939049637943
Growth 2yr Low Est,-1.6040824992417346
Growth 2yr High Est,0.04541084887119101
Growth 2yr Consensus Est,-0.7793358251852718
Growth 5yr Low Est,-0.7735511103687291
Growth 5yr High Est,0.04943843070032025
Growth 5yr Consensus Est,-0.3620563398342044
Growth 5yr Actual/Est,-0.80813395545656
Growth 3yr Historic,0.02778715759900588
