,ALK
Price/Earnings (TTM),6.62809
Price/Sales (TTM),0.40546
Price/Book (MRQ),
Price/Cash Flow (TTM),3.61484
5yr Low,20.02
5yr High,101.43
5yr Avg Return,-0.07319999999999999
EPS Growth 5yr,0.06946240000000001
Revenue Growth 5yr,0.10343379999999999
Dividend Growth 5yr,
Short Int Current Month,2788084.0
Short Int Prev Month,3991578.0
Short Int Pct of Float,0.0228473
Days to Cover,0.93759
Float,122.0371
Shares Outstanding,122.5846
Institutions Holding Shares,658.0
% Held by Institutions,0.876581
FCF Growth 5yr,0.5038946653582809
