,ALK
% Above Low,0.4985
% Held by Institutions,0.8765999999999999
52-Wk Range,['20.02 - 72.22']
Annual Dividend $,
Annual Dividend %,
Ask,30.04
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,29.8
Bid Size,200.0
Change Since Close,-0.05| |(-0.17%)
Closing Price,30.0
Day Change $,1.75
Day Change %,0.061900000000000004
Day High,30.16
Day Low,28.56
Dividend Pay Date,03/05/20
"EPS (TTM, GAAP)",4.26
Ex-dividend Date,02/14/20
Historical Volatility,0.625
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,29.95
Market Cap,3.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.63
Prev Close,28.25
Shares Outstanding,122.6M
Short Interest,0.022799999999999997
Today's Open,28.77
Volume,2769077.0
Volume 10-day Avg,3264507.0
Volume Past Day,(Below Average)
