,MNST
Price/Earnings (TTM),30.63888
Price/Sales (TTM),7.78261
Price/Book (MRQ),7.98881
Price/Cash Flow (TTM),27.87728
5yr Low,37.69
5yr High,70.52
5yr Avg Return,0.09858333333333333
EPS Growth 5yr,0.17007560000000002
Revenue Growth 5yr,0.1125207
Dividend Growth 5yr,
Short Int Current Month,6524923.0
Short Int Prev Month,6961247.0
Short Int Pct of Float,0.0134877
Days to Cover,2.10568
Float,474.3842
Shares Outstanding,526.5474
Institutions Holding Shares,877.0
% Held by Institutions,0.6845789999999999
FCF Growth 5yr,0.17507589656946337
