,MNST
% Below High,0.0672
% Held by Institutions,0.6846
52-Wk Range,['50.06 - 70.52']
Annual Dividend $,
Annual Dividend %,
Ask,66.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,60.14
Bid Size,100.0
Closing Price,65.78
Day Change $,3.69
Day Change %,0.0594
Day High,66.75
Day Low,63.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),48.0
Last (time),4:15p ET 05/08/20
Market Cap,34.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",30.64
Prev Close,62.09
Shares Outstanding,526.5M
Short Interest,0.013500000000000002
Today's Open,63.38
Volume,3274772.0
Volume 10-day Avg,2582006.0
Volume Past Day,(Heavy Day)
