,CAG
% Below High,0.0582
% Held by Institutions,0.8477
52-Wk Range,['22.83 - 35.59']
Annual Dividend $,0.85
Annual Dividend %,0.0256
Ask,33.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,33.13
Bid Size,100.0
Change Since Close,0.25| |(0.75%)
Closing Price,33.52
Day Change $,0.35
Day Change %,0.0106
Day High,33.69
Day Low,33.12
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.413
Last (size),35.0
Last (time),6:30p ET 05/08/20
Last Trade,33.77
Market Cap,16.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.13
Prev Close,33.17
Shares Outstanding,487.1M
Short Interest,0.026000000000000002
Today's Open,33.56
Volume,2258485.0
Volume 10-day Avg,2865005.0
Volume Past Day,(Light)
