,CAG
Price/Earnings (TTM),21.13116
Price/Sales (TTM),1.55653
Price/Book (MRQ),2.07531
Price/Cash Flow (TTM),14.69959
5yr Low,20.22
5yr High,48.86
5yr Avg Return,0.03165
EPS Growth 5yr,-0.0831413
Revenue Growth 5yr,-0.0422813
Dividend Growth 5yr,-0.0319812
Short Int Current Month,12606981.0
Short Int Prev Month,13196873.0
Short Int Pct of Float,0.0259688
Days to Cover,2.75877
Float,485.533
Shares Outstanding,487.0763
Institutions Holding Shares,909.0
% Held by Institutions,0.8477
FCF Growth 5yr,-0.0844406431927623
