,KO
Price/Earnings (TTM),19.22712
Price/Sales (TTM),5.15299
Price/Book (MRQ),10.547
Price/Cash Flow (TTM),16.60761
5yr Low,36.27
5yr High,60.13
5yr Avg Return,0.029516666666666667
EPS Growth 5yr,0.053274800000000004
Revenue Growth 5yr,-0.0412293
Dividend Growth 5yr,0.0587803
Short Int Current Month,27336382.0
Short Int Prev Month,28535432.0
Short Int Pct of Float,0.0064125
Days to Cover,1.54106
Float,4264.969
Shares Outstanding,4294.891
Institutions Holding Shares,2809.0
% Held by Institutions,0.677637
FCF Growth 5yr,0.032520798796097816
