,KO
% Above Low,0.2713
% Held by Institutions,0.6776000000000001
52-Wk Range,['36.27 - 60.13']
Annual Dividend $,1.64
Annual Dividend %,0.0368
Ask,46.24
Ask Size,4100.0
B/A Ratio,0.024390243902439025
B/A Size,100x4100
Beta,0.6
Bid,46.12
Bid Size,100.0
Closing Price,46.11
Day Change $,1.51
Day Change %,0.0339
Day High,46.22
Day Low,44.88
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.32
Last (size),147.0
Last (time),6:30p ET 05/08/20
Market Cap,198.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",19.23
Prev Close,44.6
Shares Outstanding,4.3B
Short Interest,0.0064
Today's Open,45.08
Volume,13987843.0
Volume 10-day Avg,16427703.0
Volume Past Day,(Below Average)
