,MHK
Price/Earnings (TTM),7.89045
Price/Sales (TTM),0.58296
Price/Book (MRQ),0.72961
Price/Cash Flow (TTM),4.34028
5yr Low,56.62
5yr High,286.85
5yr Avg Return,-0.05311666666666667
EPS Growth 5yr,0.0727198
Revenue Growth 5yr,0.050237699999999996
Dividend Growth 5yr,
Short Int Current Month,3459619.0
Short Int Prev Month,2713705.0
Short Int Pct of Float,0.060799200000000005
Days to Cover,3.4287
Float,56.92828
Shares Outstanding,71.18445
Institutions Holding Shares,684.0
% Held by Institutions,0.8629819999999999
FCF Growth 5yr,0.335918471567532
