,RJF
% Above Low,0.2328
% Held by Institutions,0.7259
52-Wk Range,['54.21 - 102.45']
Annual Dividend $,1.48
Annual Dividend %,0.023
Ask,68.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.4
Bid,60.0
Bid Size,500.0
Closing Price,66.83
Day Change $,2.4
Day Change %,0.037200000000000004
Day High,67.07
Day Low,65.12
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.75
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.509
Last (size),9100.0
Last (time),6:30p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.91
Prev Close,64.43
Shares Outstanding,136.8M
Short Interest,0.043
Today's Open,65.96
Volume,883252.0
Volume 10-day Avg,972937.0
Volume Past Day,(Average)
