,RJF
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.37241379310344835
Growth 1yr High Est,-0.2059620596205961
Growth 1yr Consensus Est,-0.28918792636202223
Growth 2yr Low Est,-0.20928381962864723
Growth 2yr High Est,-0.0782370025065438
Growth 2yr Consensus Est,-0.14376041106759552
Growth 5yr Low Est,0.003809968654352097
Growth 5yr High Est,0.06356007017529955
Growth 5yr Consensus Est,0.03368501941482582
Growth 5yr Actual/Est,0.022954823249711154
Growth 3yr Historic,0.09520850756986948
