,CLX
Price/Earnings (TTM),29.62295
Price/Sales (TTM),3.99644
Price/Book (MRQ),36.5974
Price/Cash Flow (TTM),24.22607
5yr Low,103.77
5yr High,214.26
5yr Avg Return,0.12378333333333331
EPS Growth 5yr,0.075282
Revenue Growth 5yr,0.0241909
Dividend Growth 5yr,0.06219089999999999
Short Int Current Month,10362049.0
Short Int Prev Month,9869079.0
Short Int Pct of Float,0.0829834
Days to Cover,4.99836
Float,124.9389
Shares Outstanding,125.9338
Institutions Holding Shares,1336.0
% Held by Institutions,0.7639199999999999
FCF Growth 5yr,0.01848319816356405
