,CLX
% Below High,0.04769999999999999
% Held by Institutions,0.7639
52-Wk Range,['144.12 - 214.26']
Annual Dividend $,4.24
Annual Dividend %,0.021
Ask,204.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.2
Bid,203.5
Bid Size,100.0
Change Since Close,-0.20| |(-0.10%)
Closing Price,204.05
Day Change $,2.06
Day Change %,0.0102
Day High,206.28
Day Low,202.35
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",6.82
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,0.28300000000000003
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,203.85
Market Cap,25.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.62
Prev Close,201.99
Shares Outstanding,125.9M
Short Interest,0.083
Today's Open,203.0
Volume,1393567.0
Volume 10-day Avg,2363044.0
Volume Past Day,(Light)
