,CLX
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.08814102564102555
Growth 1yr High Est,0.09748427672955984
Growth 1yr Consensus Est,0.0928126511852927
Growth 2yr Low Est,0.04554326687058641
Growth 2yr High Est,0.09816907246220108
Growth 2yr Consensus Est,0.07185616966639374
Growth 5yr Low Est,0.06799617486476822
Growth 5yr High Est,0.09267450884036571
Growth 5yr Consensus Est,0.08033534185256697
Growth 5yr Actual/Est,0.07529424986838718
Growth 3yr Historic,0.045532098338160354
