,MSI
Price/Earnings (TTM),27.57226
Price/Sales (TTM),2.96276
Price/Book (MRQ),
Price/Cash Flow (TTM),18.34165
5yr Low,56.4
5yr High,187.49
5yr Avg Return,0.15513333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0604547
Dividend Growth 5yr,0.12415509999999999
Short Int Current Month,3434508.0
Short Int Prev Month,3791624.0
Short Int Pct of Float,0.0201112
Days to Cover,2.84803
Float,170.824
Shares Outstanding,171.5532
Institutions Holding Shares,1016.0
% Held by Institutions,0.856779
FCF Growth 5yr,0.17737884649408578
