,MSI
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.12467866323907462
Growth 1yr High Est,0.11251580278128959
Growth 1yr Consensus Est,-0.006081430228892515
Growth 2yr Low Est,-0.012412753058597459
Growth 2yr High Est,0.10966699229973564
Growth 2yr Consensus Est,0.04862711962056909
Growth 5yr Low Est,0.09756452115305653
Growth 5yr High Est,0.16052356223154912
Growth 5yr Consensus Est,0.12904404169230282
Growth 5yr Actual/Est,0.12993368313703926
Growth 3yr Historic,0.1057026307026307
