,MAA
Price/Earnings (TTM),42.67524
Price/Sales (TTM),8.11912
Price/Book (MRQ),2.16749
Price/Cash Flow (TTM),16.12818
5yr Low,72.51
5yr High,148.88
5yr Avg Return,0.08343333333333332
EPS Growth 5yr,0.09301310000000002
Revenue Growth 5yr,0.1058373
Dividend Growth 5yr,0.0563058
Short Int Current Month,1263354.0
Short Int Prev Month,1258276.0
Short Int Pct of Float,0.0111306
Days to Cover,1.22952
Float,117.5313
Shares Outstanding,118.3383
Institutions Holding Shares,749.0
% Held by Institutions,0.928855
FCF Growth 5yr,-0.8994150569794653
