,MAA
% Below High,0.2237
% Held by Institutions,0.9289000000000001
52-Wk Range,['82.00 - 148.88']
Annual Dividend $,4.0
Annual Dividend %,0.0352
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,102.55
Bid Size,
Closing Price,115.57
Day Change $,1.82
Day Change %,0.016
Day High,117.14
Day Low,113.67
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.43100000000000005
Last (size),18900.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",42.68
Prev Close,113.75
Shares Outstanding,114.3M
Short Interest,0.0111
Today's Open,115.89
Volume,598166.0
Volume 10-day Avg,744750.0
Volume Past Day,(Below Average)
