,MAA
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.010752688172043001
Growth 1yr High Est,0.47120418848167556
Growth 1yr Consensus Est,0.23022575015481628
Growth 2yr Low Est,0.05984104721832628
Growth 2yr High Est,0.21602914050418298
Growth 2yr Consensus Est,0.13793509386125463
Growth 5yr Low Est,0.039894031478884186
Growth 5yr High Est,0.14401942700278866
Growth 5yr Consensus Est,0.09195672924083642
Growth 5yr Actual/Est,0.05515880916389451
Growth 3yr Historic,0.11116396900362235
