,MCHP,Rating Since
theStreet,hold,2020-03-30
newConstructs,5,2020-05-08
researchTeam,hold,2020-04-13
creditSuisse,outperform,2015-08-04
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,3,2020-05-08
cfra,3,2019-05-14
ford,2,2020-04-24
