,MCHP
Price/Earnings (TTM),33.84276
Price/Sales (TTM),3.88065
Price/Book (MRQ),3.64638
Price/Cash Flow (TTM),11.43971
5yr Low,37.77
5yr High,112.47
5yr Avg Return,0.14429999999999998
EPS Growth 5yr,-0.040567399999999997
Revenue Growth 5yr,0.22601680000000002
Dividend Growth 5yr,0.005583
Short Int Current Month,30293503.0
Short Int Prev Month,28719515.0
Short Int Pct of Float,0.1293031
Days to Cover,7.97071
Float,234.2739
Shares Outstanding,239.5381
Institutions Holding Shares,1048.0
% Held by Institutions,1.073071
FCF Growth 5yr,0.21547995173759077
