,DXC
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.37560975609756087
Growth 1yr High Est,-0.32335329341317354
Growth 1yr Consensus Est,-0.3494815247553672
Growth 2yr Low Est,-0.37530487804878043
Growth 2yr High Est,-0.09530496529065757
Growth 2yr Consensus Est,-0.235304921669719
Growth 5yr Low Est,-0.22947786343148402
Growth 5yr High Est,-0.05111428327865789
Growth 5yr Consensus Est,-0.14029607335507097
Growth 5yr Actual/Est,0.29759403491694925
Growth 3yr Historic,0.4029170390834485
