,DXC
% Above Low,1.2342
% Held by Institutions,0.8945000000000001
52-Wk Range,['7.90 - 60.80']
Annual Dividend $,0.84
Annual Dividend %,0.048499999999999995
Ask,18.5
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,2.5
Bid,17.65
Bid Size,500.0
Closing Price,17.65
Day Change $,0.32
Day Change %,0.018500000000000003
Day High,17.91
Day Low,17.19
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",-6.25
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.932
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.33
Shares Outstanding,253.7M
Short Interest,0.0629
Today's Open,17.74
Volume,2240776.0
Volume 10-day Avg,3818473.0
Volume Past Day,(Light)
