,DXC
Price/Earnings (TTM),
Price/Sales (TTM),0.21939
Price/Book (MRQ),0.50208
Price/Cash Flow (TTM),12.45603
5yr Low,7.9
5yr High,107.85
5yr Avg Return,-0.04928333333333334
EPS Growth 5yr,-0.059813
Revenue Growth 5yr,0.0980974
Dividend Growth 5yr,-0.0128248
Short Int Current Month,15857730.0
Short Int Prev Month,13742724.0
Short Int Pct of Float,0.0629282
Days to Cover,3.19745
Float,251.9802
Shares Outstanding,253.7206
Institutions Holding Shares,856.0
% Held by Institutions,0.8945449999999999
FCF Growth 5yr,2.2284673947473523
