,CTXS
Price/Earnings (TTM),26.36667
Price/Sales (TTM),5.90082
Price/Book (MRQ),
Price/Cash Flow (TTM),22.84573
5yr Low,60.91
5yr High,152.49
5yr Avg Return,0.15385
EPS Growth 5yr,0.2790878
Revenue Growth 5yr,-0.008564
Dividend Growth 5yr,
Short Int Current Month,4711699.0
Short Int Prev Month,5067521.0
Short Int Pct of Float,0.038966
Days to Cover,1.91309
Float,122.2717
Shares Outstanding,123.4506
Institutions Holding Shares,954.0
% Held by Institutions,0.987561
FCF Growth 5yr,-0.03649674623559638
