,CTXS
% Below High,0.009899999999999999
% Held by Institutions,0.9876
52-Wk Range,['90.28 - 152.49']
Annual Dividend $,1.4
Annual Dividend %,0.009300000000000001
Ask,151.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,149.5
Bid Size,100.0
Closing Price,150.98
Day Change $,0.3
Day Change %,0.002
Day High,151.59
Day Low,147.94
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.324
Last (size),50.0
Last (time),4:15p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.37
Prev Close,150.68
Shares Outstanding,123.5M
Short Interest,0.039
Today's Open,151.59
Volume,1485417.0
Volume 10-day Avg,2046018.0
Volume Past Day,(Light)
