,EXR
% Above Low,0.2612
% Held by Institutions,1.0112999999999999
52-Wk Range,['72.70 - 124.46']
Annual Dividend $,3.6
Annual Dividend %,0.0408
Ask,91.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,84.0
Bid Size,100.0
Closing Price,91.69
Day Change $,3.52
Day Change %,0.039900000000000005
Day High,92.03
Day Low,89.1
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.36
Last (size),21500.0
Last (time),6:30p ET 05/08/20
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.45
Prev Close,88.17
Shares Outstanding,129.0M
Short Interest,0.0393
Today's Open,89.48
Volume,847273.0
Volume 10-day Avg,1066969.0
Volume Past Day,(Light)
